age,balance,duration,job,marital,education,default,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
36,2843,473,blue-collar,divorced,secondary,no,no,no,cellular,12,feb,1,182,1,success,no
31,406,736,unemployed,single,primary,no,no,no,cellular,4,feb,1,-1,0,unknown,yes
36,0,337,blue-collar,married,secondary,no,yes,no,unknown,6,may,1,-1,0,unknown,no
38,493,553,management,single,tertiary,no,yes,no,cellular,11,may,1,367,7,failure,no
49,5996,345,technician,married,secondary,no,no,no,telephone,21,nov,2,-1,0,unknown,no
57,3777,65,services,single,primary,no,yes,no,telephone,13,may,2,-1,0,unknown,no
34,524,9,management,single,secondary,no,no,no,unknown,13,aug,1,-1,0,unknown,no
32,574,259,management,single,tertiary,no,yes,no,cellular,14,apr,2,145,3,failure,no
37,427,371,blue-collar,married,secondary,no,yes,yes,unknown,9,jun,3,-1,0,unknown,no
33,483,280,self-employed,married,tertiary,no,yes,no,cellular,3,feb,2,-1,0,unknown,no
56,3391,243,unemployed,married,primary,no,no,no,cellular,21,apr,1,-1,0,unknown,yes
27,0,435,housemaid,married,primary,no,yes,no,cellular,23,jul,3,-1,0,unknown,no
21,2488,258,student,single,secondary,no,no,no,cellular,30,jun,6,169,3,success,yes
58,1517,7,management,married,tertiary,no,yes,no,telephone,29,jul,5,-1,0,unknown,no
32,217,317,self-employed,married,secondary,no,yes,yes,cellular,15,jul,5,-1,0,unknown,no
33,22,76,blue-collar,single,secondary,no,no,no,cellular,30,jan,2,207,1,failure,no
25,331,170,student,single,secondary,no,no,no,telephone,26,aug,4,-1,0,unknown,yes
25,505,386,technician,single,secondary,no,no,yes,cellular,17,nov,2,-1,0,unknown,yes
30,1808,83,services,married,secondary,no,yes,no,cellular,18,may,2,-1,0,unknown,no
22,4111,65,admin.,single,secondary,no,no,yes,cellular,19,aug,1,-1,0,unknown,no
39,52,69,blue-collar,married,primary,no,no,no,cellular,13,aug,1,-1,0,unknown,no
46,25,564,management,divorced,tertiary,no,no,no,unknown,17,jun,2,-1,0,unknown,no
31,1890,588,admin.,divorced,secondary,no,yes,no,cellular,21,jul,1,-1,0,unknown,no
45,419,113,blue-collar,married,primary,no,no,no,cellular,18,aug,4,-1,0,unknown,no
32,2693,16,technician,married,secondary,no,yes,no,unknown,21,may,1,-1,0,unknown,no
36,-231,779,blue-collar,married,secondary,no,no,yes,cellular,15,jul,2,-1,0,unknown,no
51,-55,281,management,single,tertiary,yes,yes,no,cellular,11,may,2,266,6,failure,no
34,462,1877,self-employed,single,tertiary,no,no,no,cellular,21,aug,3,-1,0,unknown,yes
24,119,51,unemployed,single,secondary,no,no,no,unknown,15,sep,1,-1,0,unknown,no
45,586,32,technician,single,secondary,no,no,yes,cellular,28,jul,3,-1,0,unknown,no
32,228,176,blue-collar,single,secondary,no,no,no,telephone,5,feb,1,288,3,failure,no
77,4659,161,retired,divorced,tertiary,no,no,no,cellular,14,apr,1,-1,0,unknown,yes
41,168,187,blue-collar,married,primary,no,yes,no,cellular,18,nov,3,-1,0,unknown,no
37,0,24,blue-collar,married,primary,no,yes,no,unknown,26,may,1,-1,0,unknown,no
43,-715,67,blue-collar,married,unknown,yes,yes,no,unknown,30,may,3,-1,0,unknown,no
48,0,85,admin.,married,unknown,no,yes,no,cellular,8,may,1,168,2,failure,no
27,769,317,technician,single,secondary,no,yes,no,unknown,9,may,2,-1,0,unknown,no
33,0,236,management,single,tertiary,no,no,no,cellular,28,aug,10,-1,0,unknown,no
29,428,54,admin.,single,secondary,no,yes,yes,cellular,7,may,1,345,2,failure,no
34,0,71,management,single,tertiary,no,no,no,cellular,5,feb,1,-1,0,unknown,no
52,-970,489,management,married,tertiary,no,yes,no,cellular,4,feb,1,-1,0,unknown,yes
60,6313,39,management,married,unknown,no,no,no,unknown,19,jun,2,-1,0,unknown,no
32,948,204,management,divorced,tertiary,no,no,no,cellular,12,aug,2,-1,0,unknown,no
32,0,455,management,single,tertiary,no,yes,no,cellular,22,jul,2,-1,0,unknown,no
56,1877,86,services,divorced,unknown,no,yes,no,unknown,30,may,1,-1,0,unknown,no
31,874,190,management,single,tertiary,no,yes,no,cellular,18,nov,2,-1,0,unknown,no
42,323,280,admin.,married,secondary,no,yes,yes,unknown,8,may,2,-1,0,unknown,no
35,106,588,management,married,tertiary,no,no,yes,cellular,11,aug,2,-1,0,unknown,no
56,1906,45,retired,married,primary,no,no,yes,unknown,19,jun,9,-1,0,unknown,no
48,1152,168,technician,married,secondary,no,yes,no,cellular,21,jul,5,-1,0,unknown,no
46,179,194,admin.,married,secondary,no,yes,no,cellular,29,jan,4,436,1,other,no
37,391,103,technician,single,unknown,no,yes,no,unknown,8,may,3,-1,0,unknown,no
41,89,333,entrepreneur,married,unknown,no,yes,no,unknown,6,may,2,-1,0,unknown,no
36,442,102,management,single,tertiary,no,yes,yes,cellular,29,jul,3,-1,0,unknown,no
45,-249,92,unemployed,divorced,primary,yes,yes,yes,unknown,1,jul,1,-1,0,unknown,no
55,8104,213,entrepreneur,married,secondary,no,no,no,cellular,6,feb,2,-1,0,unknown,no
39,501,289,technician,married,secondary,no,no,no,unknown,26,may,1,-1,0,unknown,no
35,308,77,technician,divorced,secondary,no,no,no,cellular,22,aug,2,-1,0,unknown,no
55,602,324,admin.,married,secondary,no,no,no,cellular,1,jun,3,90,2,success,yes
55,273,84,technician,married,secondary,no,yes,no,cellular,29,jan,3,183,3,failure,no
27,50,168,self-employed,single,secondary,no,no,no,cellular,29,jan,1,-1,0,unknown,no
34,1641,380,technician,married,secondary,no,yes,no,cellular,17,apr,1,-1,0,unknown,no
34,20,10,blue-collar,married,tertiary,no,no,no,unknown,4,oct,1,-1,0,unknown,no
25,4590,199,admin.,single,secondary,no,yes,no,unknown,28,may,2,-1,0,unknown,no
41,-256,35,admin.,single,secondary,no,no,yes,unknown,9,may,3,-1,0,unknown,no
43,978,82,services,married,secondary,no,yes,yes,unknown,26,may,2,-1,0,unknown,no
28,80,676,management,single,tertiary,no,no,no,cellular,20,oct,2,146,2,failure,yes
31,2104,455,admin.,single,secondary,no,yes,no,unknown,3,jun,1,-1,0,unknown,no
78,499,80,housemaid,married,secondary,no,no,no,telephone,16,mar,4,-1,0,unknown,no
45,1269,549,blue-collar,divorced,secondary,no,yes,no,cellular,29,jan,2,-1,0,unknown,no
48,310,135,technician,married,tertiary,no,no,no,unknown,6,may,1,-1,0,unknown,no
32,1143,412,blue-collar,single,secondary,no,yes,yes,cellular,10,jul,1,-1,0,unknown,no
42,2980,101,technician,married,secondary,no,no,no,unknown,20,jun,3,-1,0,unknown,no
37,37,253,management,single,tertiary,no,no,no,cellular,28,jan,2,-1,0,unknown,no
40,462,272,admin.,single,secondary,no,yes,yes,cellular,6,apr,1,335,4,other,no
32,1031,84,admin.,married,secondary,no,yes,no,cellular,17,jul,1,-1,0,unknown,no
42,9009,135,management,married,tertiary,no,no,no,cellular,20,nov,2,-1,0,unknown,no
43,-465,166,admin.,married,secondary,no,yes,yes,cellular,23,jul,1,-1,0,unknown,no
44,5181,18,admin.,married,secondary,no,yes,yes,cellular,31,jul,7,-1,0,unknown,no
37,176,147,admin.,married,secondary,no,yes,no,cellular,5,may,2,347,1,failure,no
37,1699,63,unknown,married,unknown,no,no,no,unknown,9,jun,1,-1,0,unknown,no
37,0,65,admin.,married,tertiary,no,yes,no,cellular,17,nov,2,119,1,failure,no
28,172,194,technician,single,tertiary,no,yes,yes,cellular,2,feb,2,-1,0,unknown,no
32,0,333,services,single,secondary,no,no,yes,cellular,11,jul,2,-1,0,unknown,no
34,6979,14,admin.,single,secondary,no,yes,no,cellular,15,may,5,-1,0,unknown,no
40,6,140,admin.,divorced,secondary,no,no,no,unknown,11,jun,1,-1,0,unknown,no
34,-62,109,services,married,secondary,no,yes,no,unknown,16,jun,3,-1,0,unknown,no
34,1972,61,self-employed,married,tertiary,no,yes,no,cellular,23,jul,2,-1,0,unknown,no
34,899,377,admin.,married,tertiary,no,yes,no,telephone,19,nov,3,7,4,success,no
37,21,96,services,single,secondary,no,yes,no,cellular,2,feb,1,271,2,other,no
36,23,152,technician,married,secondary,no,yes,no,cellular,8,may,2,347,1,failure,no
56,-1206,382,retired,married,secondary,no,yes,no,cellular,15,jun,2,-1,0,unknown,yes
49,0,97,blue-collar,married,primary,no,yes,yes,telephone,23,jul,6,-1,0,unknown,no
33,215,543,self-employed,married,secondary,no,yes,no,cellular,29,jul,12,-1,0,unknown,no
30,1372,240,management,single,tertiary,no,no,no,cellular,20,nov,2,-1,0,unknown,no
36,1981,48,services,married,secondary,no,no,no,unknown,17,jun,2,-1,0,unknown,no
23,9216,471,student,single,secondary,no,no,no,cellular,5,jun,2,-1,0,unknown,no
57,39,354,retired,divorced,secondary,no,yes,no,cellular,30,jul,3,-1,0,unknown,no
27,5563,435,blue-collar,single,secondary,no,yes,no,unknown,30,may,2,-1,0,unknown,no
38,1,152,services,married,secondary,no,no,yes,cellular,21,nov,2,-1,0,unknown,no
42,782,285,technician,married,tertiary,no,no,no,cellular,3,apr,1,-1,0,unknown,no
75,3771,185,retired,married,secondary,no,no,no,telephone,15,apr,1,181,2,success,yes
34,992,301,technician,single,tertiary,no,yes,no,cellular,4,may,1,88,2,success,no
48,1526,273,technician,married,secondary,no,no,no,cellular,6,aug,2,-1,0,unknown,no
35,2658,768,technician,single,tertiary,no,yes,no,cellular,19,aug,2,141,3,failure,yes
39,1315,1337,management,divorced,tertiary,no,yes,no,cellular,19,nov,4,126,1,failure,no
29,455,403,blue-collar,single,tertiary,no,no,no,telephone,21,apr,1,-1,0,unknown,yes
45,0,139,technician,single,tertiary,no,yes,no,cellular,18,nov,2,-1,0,unknown,no
42,2030,196,technician,married,secondary,no,yes,yes,cellular,9,jul,1,-1,0,unknown,no
29,1599,115,technician,married,secondary,no,yes,no,cellular,8,jul,1,61,1,failure,no
38,-196,60,services,single,secondary,no,yes,no,cellular,2,feb,1,271,1,failure,no
56,1333,17,retired,married,secondary,no,no,no,cellular,28,aug,14,-1,0,unknown,no
36,9149,141,technician,single,secondary,no,yes,no,cellular,13,aug,3,-1,0,unknown,no
25,-350,95,blue-collar,single,secondary,no,yes,no,unknown,23,jun,3,-1,0,unknown,no
38,432,10,technician,married,tertiary,no,yes,no,cellular,15,may,2,373,1,other,no
57,11494,198,self-employed,married,secondary,no,no,no,cellular,19,nov,1,-1,0,unknown,no
31,-253,220,management,married,tertiary,yes,no,no,cellular,12,aug,4,-1,0,unknown,no
42,372,654,management,married,tertiary,no,yes,no,cellular,3,aug,2,-1,0,unknown,yes
45,1410,71,technician,married,secondary,no,no,no,cellular,11,aug,2,-1,0,unknown,no
30,975,256,blue-collar,married,secondary,no,yes,no,cellular,13,may,2,351,2,failure,no
49,305,834,blue-collar,married,primary,no,yes,yes,telephone,10,jul,10,-1,0,unknown,no
49,400,151,services,married,secondary,no,no,no,cellular,21,aug,3,-1,0,unknown,no
53,-22,20,retired,married,tertiary,no,yes,no,cellular,31,jul,3,-1,0,unknown,no
37,4030,178,technician,married,secondary,no,yes,no,unknown,26,may,5,-1,0,unknown,no
49,365,59,blue-collar,married,primary,no,no,no,unknown,26,may,2,-1,0,unknown,no
41,204,111,self-employed,married,primary,no,no,no,cellular,13,aug,7,-1,0,unknown,no
54,1691,186,management,married,primary,no,yes,no,cellular,20,nov,1,-1,0,unknown,no
32,406,227,services,single,secondary,no,yes,no,unknown,6,may,1,-1,0,unknown,no
33,-204,297,technician,married,secondary,no,no,no,cellular,15,may,3,-1,0,unknown,no
33,359,210,technician,married,secondary,no,yes,no,cellular,20,apr,1,242,1,other,no
36,123,9,blue-collar,married,primary,no,yes,no,cellular,18,may,1,-1,0,unknown,no
35,0,112,technician,married,tertiary,no,yes,yes,cellular,23,sep,1,62,6,other,no
52,142,112,unknown,married,secondary,no,no,no,cellular,25,aug,6,-1,0,unknown,no
40,3571,222,entrepreneur,married,tertiary,no,no,no,unknown,9,jun,3,-1,0,unknown,no
44,33,195,technician,single,secondary,no,yes,no,cellular,13,may,3,351,10,failure,no
45,0,768,blue-collar,single,secondary,no,yes,no,cellular,26,jul,2,91,5,success,no
30,3096,123,student,single,secondary,no,no,no,cellular,26,jan,1,-1,0,unknown,no
48,20,145,technician,divorced,secondary,yes,no,no,cellular,27,aug,3,-1,0,unknown,no
33,3576,124,blue-collar,married,secondary,no,yes,no,cellular,2,apr,1,308,2,other,no
57,206,216,technician,married,unknown,no,yes,no,unknown,5,may,3,-1,0,unknown,no
57,7082,69,housemaid,married,primary,no,no,no,unknown,6,jun,3,-1,0,unknown,no
51,1634,168,unemployed,married,tertiary,no,yes,no,cellular,22,jul,4,-1,0,unknown,no
34,1,483,admin.,single,secondary,no,yes,no,cellular,22,jul,7,-1,0,unknown,no
50,4012,690,self-employed,married,tertiary,no,no,no,cellular,19,nov,3,-1,0,unknown,no
44,3762,125,management,married,tertiary,no,no,no,cellular,28,aug,12,-1,0,unknown,no
27,-247,344,admin.,married,secondary,no,yes,yes,unknown,4,jun,2,-1,0,unknown,no
50,606,673,blue-collar,married,secondary,no,yes,no,unknown,14,may,2,-1,0,unknown,no
36,0,60,management,married,tertiary,no,yes,no,cellular,28,jan,1,250,1,other,no
42,-189,247,management,married,secondary,no,yes,no,unknown,12,may,2,-1,0,unknown,no
32,0,123,unemployed,single,secondary,no,no,no,cellular,27,may,2,-1,0,unknown,no
42,484,144,management,married,tertiary,no,yes,no,cellular,11,jul,2,-1,0,unknown,no
43,0,9,technician,married,secondary,no,no,yes,cellular,8,may,2,172,5,failure,no
31,395,155,management,married,tertiary,no,yes,no,cellular,9,feb,3,-1,0,unknown,no
32,2349,134,management,married,tertiary,no,no,no,cellular,14,aug,5,-1,0,unknown,no
55,410,221,blue-collar,divorced,primary,no,no,yes,cellular,11,jul,2,-1,0,unknown,no
58,3401,84,retired,married,primary,no,yes,no,cellular,3,feb,3,265,2,failure,no
46,222,71,blue-collar,married,primary,no,no,no,cellular,8,aug,2,-1,0,unknown,no
55,989,246,blue-collar,married,secondary,no,yes,yes,unknown,23,may,4,-1,0,unknown,no
34,415,361,management,married,tertiary,no,no,yes,cellular,23,jul,2,-1,0,unknown,no
28,16,119,unemployed,single,secondary,no,no,no,cellular,12,aug,4,-1,0,unknown,no
42,7190,375,technician,divorced,tertiary,no,yes,no,cellular,29,jul,2,-1,0,unknown,no
29,482,1097,blue-collar,single,secondary,no,no,yes,cellular,10,jul,3,-1,0,unknown,yes
54,209,97,housemaid,married,secondary,no,yes,yes,cellular,25,jul,1,-1,0,unknown,no
32,0,181,technician,single,secondary,no,no,no,cellular,26,aug,2,-1,0,unknown,no
39,5803,83,technician,single,tertiary,no,no,no,cellular,2,feb,3,-1,0,unknown,no
53,624,180,entrepreneur,married,tertiary,no,no,yes,cellular,21,jul,4,-1,0,unknown,no
58,883,543,technician,married,tertiary,no,no,no,cellular,18,aug,1,78,2,failure,no
40,1516,373,self-employed,married,secondary,no,yes,yes,unknown,23,may,1,-1,0,unknown,no
29,872,230,student,single,secondary,no,yes,no,unknown,7,may,1,-1,0,unknown,no
33,-988,83,technician,married,tertiary,no,yes,yes,cellular,15,jul,3,-1,0,unknown,no
38,902,58,admin.,single,secondary,no,yes,no,telephone,31,jul,13,-1,0,unknown,no
56,1007,88,services,divorced,secondary,no,no,no,cellular,29,jul,6,-1,0,unknown,no
40,0,297,services,married,secondary,no,yes,no,cellular,2,jun,1,28,3,failure,no
24,174,487,blue-collar,single,secondary,no,yes,yes,cellular,18,may,1,-1,0,unknown,yes
46,12186,29,management,married,secondary,no,no,no,unknown,20,jun,3,-1,0,unknown,no
35,524,484,self-employed,married,secondary,no,yes,no,cellular,21,nov,4,-1,0,unknown,no
35,0,262,blue-collar,single,tertiary,no,yes,no,cellular,21,jul,4,-1,0,unknown,no
34,4,644,technician,married,secondary,no,yes,no,unknown,15,may,1,-1,0,unknown,no
35,11219,699,housemaid,married,tertiary,no,no,no,cellular,12,aug,2,79,1,failure,no
38,0,247,technician,single,tertiary,no,no,no,cellular,28,aug,2,-1,0,unknown,no
50,5776,49,blue-collar,married,primary,no,no,no,cellular,18,nov,3,-1,0,unknown,no
51,37,341,blue-collar,divorced,primary,no,yes,no,cellular,13,may,1,-1,0,unknown,no
59,593,64,self-employed,married,tertiary,no,no,no,unknown,13,may,2,-1,0,unknown,no
32,1148,121,blue-collar,married,secondary,no,yes,no,cellular,20,apr,1,-1,0,unknown,no
37,3561,98,blue-collar,single,secondary,no,yes,no,unknown,2,jun,1,-1,0,unknown,no
42,63,88,admin.,divorced,secondary,no,no,no,unknown,16,may,6,-1,0,unknown,no
40,260,197,student,married,secondary,no,no,no,unknown,20,jun,6,-1,0,unknown,no
28,2269,331,technician,single,tertiary,no,yes,no,unknown,9,may,1,-1,0,unknown,no
47,1060,83,admin.,married,secondary,no,yes,no,unknown,6,jun,3,-1,0,unknown,no
27,-220,138,self-employed,married,secondary,no,yes,no,unknown,26,may,2,-1,0,unknown,no
41,49,312,management,married,tertiary,no,yes,no,cellular,17,jul,5,-1,0,unknown,no
34,69,120,admin.,married,tertiary,no,no,yes,cellular,4,aug,3,1,6,success,yes
50,4108,526,blue-collar,married,primary,no,yes,no,cellular,7,aug,2,-1,0,unknown,yes
47,480,211,blue-collar,married,secondary,no,yes,no,unknown,28,may,2,-1,0,unknown,no
53,4994,62,services,married,secondary,no,no,no,cellular,18,aug,6,-1,0,unknown,no
53,0,135,technician,divorced,secondary,no,yes,yes,cellular,15,jul,5,-1,0,unknown,no
47,3681,101,management,married,tertiary,no,no,no,cellular,14,aug,2,-1,0,unknown,no
49,-701,988,entrepreneur,divorced,unknown,yes,yes,no,cellular,30,jul,2,-1,0,unknown,yes
29,451,451,management,married,tertiary,no,no,no,cellular,28,jan,1,-1,0,unknown,no
45,-311,1030,blue-collar,divorced,primary,no,yes,no,unknown,23,may,1,-1,0,unknown,yes
38,593,1484,entrepreneur,married,secondary,no,yes,yes,cellular,24,jul,24,-1,0,unknown,yes
32,759,317,blue-collar,married,secondary,no,yes,no,cellular,9,apr,5,-1,0,unknown,yes
70,4531,445,retired,divorced,primary,no,no,no,cellular,18,may,1,-1,0,unknown,no
65,1840,383,retired,divorced,primary,no,no,no,cellular,1,jun,2,188,5,failure,no
56,345,605,blue-collar,married,secondary,no,yes,no,telephone,22,jul,1,-1,0,unknown,no
35,1287,330,blue-collar,married,secondary,no,yes,no,cellular,14,jul,2,-1,0,unknown,no
56,353,171,management,married,unknown,no,no,yes,cellular,25,jul,2,-1,0,unknown,no
56,205,442,technician,married,secondary,no,no,yes,cellular,23,jul,2,-1,0,unknown,no
49,687,772,entrepreneur,married,secondary,no,yes,no,cellular,17,apr,1,-1,0,unknown,yes
38,1147,249,unemployed,married,primary,no,yes,yes,unknown,8,may,5,-1,0,unknown,no
35,4286,357,management,married,tertiary,no,yes,no,unknown,9,may,1,-1,0,unknown,no
38,605,147,admin.,married,tertiary,no,no,no,cellular,18,nov,2,-1,0,unknown,no
